-- Стоим у шлагбаума в зоне 3304 --
[ 15.07.22 13:59:32 ] vld: 1, lat: 55.751296, long: 37.757267, crs: 257.60, spd: 11.48
[ 15.07.22 13:59:32 ] vld: 1, lat: 55.751296, long: 37.757267, crs: 257.60, spd: 11.48
[ 15.07.22 13:59:33 ] vld: 1, lat: 55.751292, long: 37.757213, crs: 259.50, spd: 12.04
[ 15.07.22 13:59:33 ] vld: 1, lat: 55.751292, long: 37.757213, crs: 259.50, spd: 12.04
[ 15.07.22 13:59:34 ] vld: 1, lat: 55.751286, long: 37.757165, crs: 256.90, spd: 11.85
[ 15.07.22 13:59:34 ] vld: 1, lat: 55.751286, long: 37.757165, crs: 256.90, spd: 11.85
[ 15.07.22 13:59:35 ] vld: 1, lat: 55.751316, long: 37.757106, crs: 288.60, spd: 14.63
[ 15.07.22 13:59:35 ] vld: 1, lat: 55.751316, long: 37.757106, crs: 288.60, spd: 14.63
[ 15.07.22 13:59:36 ] vld: 1, lat: 55.751332, long: 37.757046, crs: 288.10, spd: 14.82
[ 15.07.22 13:59:36 ] vld: 1, lat: 55.751332, long: 37.757046, crs: 288.10, spd: 14.82
[ 15.07.22 13:59:37 ] vld: 1, lat: 55.751328, long: 37.756975, crs: 271.70, spd: 15.93
[ 15.07.22 13:59:37 ] vld: 1, lat: 55.751328, long: 37.756975, crs: 271.70, spd: 15.93
[ 15.07.22 13:59:38 ] vld: 1, lat: 55.751300, long: 37.756920, crs: 250.20, spd: 14.63
[ 15.07.22 13:59:38 ] vld: 1, lat: 55.751293, long: 37.756875, crs: 254.90, spd: 11.67
[ 15.07.22 13:59:39 ] vld: 1, lat: 55.751293, long: 37.756875, crs: 254.90, spd: 11.67
[ 15.07.22 13:59:39 ] vld: 1, lat: 55.751288, long: 37.756828, crs: 254.70, spd: 10.93
[ 15.07.22 13:59:40 ] vld: 1, lat: 55.751288, long: 37.756828, crs: 254.70, spd: 10.93
[ 15.07.22 13:59:40 ] vld: 1, lat: 55.751281, long: 37.756792, crs: 251.40, spd: 8.89
[ 15.07.22 13:59:41 ] vld: 1, lat: 55.751281, long: 37.756792, crs: 251.40, spd: 8.89
[ 15.07.22 13:59:41 ] vld: 1, lat: 55.751278, long: 37.756780, crs: 254.80, spd: 2.59
[ 15.07.22 13:59:42 ] vld: 1, lat: 55.751278, long: 37.756780, crs: 254.80, spd: 2.59
-- Останавливаемся --
[ 15.07.22 13:59:43 ] vld: 1, lat: 55.751283, long: 37.756796, crs: 254.80, spd: 0.00
[ 15.07.22 13:59:43 ] vld: 1, lat: 55.751283, long: 37.756796, crs: 254.80, spd: 0.00
[ 15.07.22 13:59:44 ] vld: 1, lat: 55.751287, long: 37.756807, crs: 254.80, spd: 0.00
