-- Находимся в зоне 3295 (Тормозим) --
[ 14.07.22 12:52:10 ] vld: 1, lat: 55.753127, long: 37.764109, crs: 66.40, spd: 16.67
[ 14.07.22 12:52:10 ] vld: 1, lat: 55.753127, long: 37.764109, crs: 66.40, spd: 16.67
[ 14.07.22 12:52:11 ] vld: 1, lat: 55.753142, long: 37.764175, crs: 70.80, spd: 15.19
[ 14.07.22 12:52:11 ] vld: 1, lat: 55.753142, long: 37.764175, crs: 70.80, spd: 15.19
[ 14.07.22 12:52:12 ] vld: 1, lat: 55.753167, long: 37.764248, crs: 73.20, spd: 18.33
[ 14.07.22 12:52:12 ] vld: 1, lat: 55.753167, long: 37.764248, crs: 73.20, spd: 18.33
[ 14.07.22 12:52:13 ] vld: 1, lat: 55.753176, long: 37.764339, crs: 71.90, spd: 21.85
[ 14.07.22 12:52:13 ] vld: 1, lat: 55.753176, long: 37.764339, crs: 71.90, spd: 21.85
[ 14.07.22 12:52:14 ] vld: 1, lat: 55.753200, long: 37.764434, crs: 70.60, spd: 24.45
[ 14.07.22 12:52:14 ] vld: 1, lat: 55.753200, long: 37.764434, crs: 70.60, spd: 24.45
[ 14.07.22 12:52:15 ] vld: 1, lat: 55.753224, long: 37.764539, crs: 70.10, spd: 24.26
[ 14.07.22 12:52:15 ] vld: 1, lat: 55.753224, long: 37.764539, crs: 70.10, spd: 24.26
[ 14.07.22 12:52:16 ] vld: 1, lat: 55.753238, long: 37.764623, crs: 72.40, spd: 23.71
[ 14.07.22 12:52:16 ] vld: 1, lat: 55.753238, long: 37.764623, crs: 72.40, spd: 23.71
